date,pm25,pm10,o3,no2,so2,co
17-09-2022,81,75,15,8,3,6
18-09-2022,119,78,11,9,2,7
19-09-2022,110,36,9,8,3,5
20-09-2022,55,51,13,6,3,3
21-09-2022,75,65,22,5,3,5
22-09-2022,109,55,11,6,3,5
23-09-2022,103,62,12,6,2,3
24-09-2022,119,78,12,6,2,6
25-09-2022,147,88,15,7,2,6
26-09-2022,150,99,16,7,1,9
27-09-2022,153,95,15,8,2,5
28-09-2022,146,92,25,8,2,7
29-09-2022,138,87,19,10,2,7
30-09-2022,145,94,18,11,2,6
01-04-2022,113,68,41,18,9,4
02-04-2022,121,61,15,18,2,4
03-04-2022,104,58,36,18,3,5
04-04-2022,101,56,38,18,2,4
05-04-2022,91,73,56,18,3,4
06-04-2022,116,75,63,18,5,3
07-04-2022,119,72,57,18,4,5
08-04-2022,116,73,65,18,6,5
09-04-2022,113,73,49,18,4,6
10-04-2022,114,88,40,18,4,9
11-04-2022,142,82,31,18,3,7
12-04-2022,139,67,34,18,3,7
13-04-2022,106,87,63,18,7,9
14-04-2022,122,104,69,18,8,6
15-04-2022,155,96,60,19,6,5
16-04-2022,146,87,90,19,6,6
17-04-2022,133,80,60,19,4,7
18-04-2022,132,82,45,19,4,4
19-04-2022,135,64,36,19,4,4
20-04-2022,91,70,33,19,6,6
21-04-2022,100,72,61,19,4,7
22-04-2022,107,82,53,18,19,6
23-04-2022,120,112,76,19,12,7
24-04-2022,156,115,77,19,9,10
25-04-2022,163,107,66,19,8,8
26-04-2022,157,102,58,15,4,6
27-04-2022,145,81,35,16,4,6
28-04-2022,129,84,56,17,4,7
29-04-2022,135,74,39,18,6,5
30-04-2022,110,68,28,20,15,6
01-05-2022,107,49,50,22,6,5
02-05-2022,88,48,31,22,2,4
03-05-2022,85,52,35,22,4,5
04-05-2022,84,65,33,23,3,5
05-05-2022,115,68,67,24,3,6
06-05-2022,118,66,45,24,4,6
07-05-2022,117,65,40,24,3,5
08-05-2022,111,39,19,24,3,4
09-05-2022,71,43,14,24,3,6
10-05-2022,81,44,18,24,2,5
11-05-2022,88,52,23,24,2,4
12-05-2022,89,57,34,24,2,5
13-05-2022,88,56,47,24,2,5
14-05-2022,83,47,31,24,2,6
15-05-2022,66,58,28,24,2,6
16-05-2022,78,51,29,24,2,7
17-05-2022,80,49,23,24,2,6
18-05-2022,75,52,26,24,2,6
19-05-2022,80,68,23,24,2,5
20-05-2022,108,58,21,24,3,6
21-05-2022,86,67,33,24,2,4
22-05-2022,105,78,40,24,4,8
23-05-2022,129,86,55,25,6,4
24-05-2022,136,68,33,24,5,5
25-05-2022,121,74,45,25,5,5
26-05-2022,122,78,45,25,5,4
27-05-2022,126,89,55,25,5,2
28-05-2022,150,75,28,24,5,2
29-05-2022,139,85,40,25,4,8
30-05-2022,146,74,34,25,3,3
31-05-2022,121,93,29,25,5,8
01-06-2022,143,74,23,25,5,7
02-06-2022,135,80,31,25,4,6
03-06-2022,128,64,29,24,4,3
04-06-2022,88,58,32,24,4,2
05-06-2022,91,60,28,24,4,5
06-06-2022,96,56,34,24,4,5
07-06-2022,85,65,23,24,4,5
08-06-2022,109,62,19,24,4,6
09-06-2022,89,56,30,24,4,5
10-06-2022,75,55,25,25,4,6
11-06-2022,84,65,35,24,4,5
12-06-2022,92,71,30,24,4,5
13-06-2022,110,60,26,24,4,3
14-06-2022,166,43,16,24,4,7
15-06-2022,70,43,20,24,4,5
16-06-2022,79,34,16,24,4,5
17-06-2022,65,38,18,24,4,8
18-06-2022,78,39,14,24,4,5
19-06-2022,67,42,29,24,3,6
20-06-2022,66,52,41,24,2,5
21-06-2022,87,65,39,24,1,6
22-06-2022,128,34,35,24,2,4
23-06-2022,61,46,33,24,2,5
24-06-2022,76,59,15,24,1,5
25-06-2022,88,40,16,24,2,3
26-06-2022,73,22,16,24,2,4
27-06-2022,43,25,15,24,2,3
28-06-2022,38,31,14,24,2,4
29-06-2022,48,51,20,24,2,5
30-06-2022,81,50,17,24,2,4
03-01-2022,126,85,49,11,3,7
04-01-2022,160,117,61,17,5,10
05-01-2022,178,110,44,19,8,9
06-01-2022,183,88,38,12,12,6
07-01-2022,156,103,45,17,6,10
08-01-2022,169,96,37,18,7,9
09-01-2022,166,85,41,12,7,7
10-01-2022,152,103,31,11,6,9
11-01-2022,169,66,21,10,4,7
12-01-2022,131,68,36,13,4,8
13-01-2022,125,79,27,13,6,6
14-01-2022,148,74,45,11,4,4
15-01-2022,148,77,45,9,3,4
16-01-2022,155,87,57,9,4,7
17-01-2022,160,83,41,9,3,6
18-01-2022,155,90,39,10,3,6
19-01-2022,161,115,57,16,7,10
20-01-2022,174,140,38,22,12,10
21-01-2022,190,135,56,15,7,10
22-01-2022,193,89,14,12,3,9
23-01-2022,170,83,26,14,4,10
24-01-2022,161,100,31,14,5,7
25-01-2022,169,89,32,9,3,6
26-01-2022,158,77,52,10,4,5
27-01-2022,141,84,49,11,4,5
28-01-2022,148,88,52,12,3,6
29-01-2022,154,95,66,18,20,10
30-01-2022,158,127,64,18,9,8
31-01-2022,172,110,50,19,7,11
01-02-2022,153,118,61,13,8,7
02-02-2022,168,111,45,2,9,8
03-02-2022,169,52,34,2,7,6
04-02-2022,92,58,46,2,3,4
05-02-2022,96,68,47,2,5,6
06-02-2022,125,85,61,3,8,10
07-02-2022,134,85,39,5,6,6
08-02-2022,149,103,47,6,8,5
09-02-2022,155,86,23,6,12,8
10-02-2022,156,84,35,6,4,6
11-02-2022,148,88,46,6,4,7
12-02-2022,155, , , , , 
22-02-2022,132,105,59,7,6,9
